symbol,name,fcc,cash,total_debt,shares,beta,eps_next_5y,current_price,fair_price,price_to_book,PV
MSTR,MicroStrategy Incorporated,-2535873000.0,63356000.0,2155151000.0,9333500.0,1.616,0.1,294.24,-4731.990902316104,3.63,-44166037086.767365
NFLX,Netflix Inc,-131975000.0,6027804000.0,16000823000.0,444274000.0,0.97,0.1689,180.97,-31.94980848872031,4.769,-14194469216.517727
FB,Meta Platforms Inc.,39116000000.0,47998000000.0,13873000000.0,2293520000.0,1.394,0.0953,203.77,315.89428443971326,4.574,724509859248.1711
AMD,Advanced Micro Devices Inc,3220000000.0,3608000000.0,313000000.0,1620160000.0,1.805,0.299,95.34,96.04613139997261,2.748,155610100248.9796
NVDA,NVIDIA Corporation,8132000000.0,21208000000.0,10946000000.0,2492000000.0,1.423,0.3075,186.75,182.60991098035345,17.73,455063898163.0408
TSLA,Tesla Inc,3515000000.0,17707000000.0,4841000000.0,1036010000.0,2.079,0.3772,865.65,251.19074225865282,26.54,260236120887.3869
WM,Waste Management Inc,2434000000.0,118000000.0,13499000000.0,415207000.0,0.875,0.1225,161.78,112.68713012845159,9.22,46788485239.243996
MNST,Monster Beverage Corporation,1098288000.0,3076189000.0,0.0,529664000.0,1.141,0.1395,86.67,56.91467316266354,6.91,30145653446.029022
ECL,Ecolab Inc,1418900000.0,359900000.0,2548000000.0,286296000.0,1.092,0.1563,165.2,133.01098731005854,6.74,38080513622.92052
WDAY,Workday Inc,1206929000.0,3644161000.0,1839797000.0,196000000.0,1.368,0.1391,189.46,147.04465638618925,10.84,28820752651.693092
INTU,Intuit Inc,3125000000.0,3870000000.0,2048000000.0,282812000.0,1.116,0.167,395.71,322.9932611600058,7.43,91346370175.18355
ADBE,Adobe Inc,6882000000.0,5798000000.0,4123000000.0,472500000.0,1.048,0.1425,391.01,386.62743565338786,14.52,182681463346.22577
ATVI,Activision Blizzard Inc,2334000000.0,10423000000.0,3608000000.0,781881000.0,0.546,0.1645,77.84,101.9067355535761,3.454,79678940301.36563
TTWO,Take-Two Interactive Software Inc,843395000.0,2731576000.0,191266000.0,115457000.0,0.635,0.1463,114.27,228.17193280265096,3.787,26344046845.595673
EA,Electronic Arts Inc,1810000000.0,5260000000.0,1876000000.0,281222000.0,0.828,0.1823,115.29,233.68840196033776,4.416,65718319776.0901
MA,Mastercard Incorporated,8649000000.0,7421000000.0,13900000000.0,964921000.0,1.077,0.2428,347.12,400.5689237813404,48.86,386517366504.0148
